searchType,showId,stdShowId,showName,showDate,cityName,cityId,showStatus,minOriginalPrice,posterUrl,venueId,venueName,backendCategory,isFree,firstShowTime,lastShowTime,minOriginalPriceInfo,latestShowTime,showSessionDates,soldOut,sessionNum,seatPlanNum
SHOW,663a00e7a9ea350001edef70,663a00e7a9ea350001edef6e,【长春】【金池】谁不是2024巡演-长春站,2024.06.28 20:00,长春,2201,ONSALE,150.0,https://cdn.ticketmars.com/image/prod/20240507_12/17150783655547049.jpg,5c874963908c38729559b49b,音浪livehouse,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1719576000000,1719581400000,"{'yuanNum': '150', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1719576000000,['20240628'],False,1,2
SHOW,65f423f7f3532400017eea7e,65f423f76221bd0001745cba,【太原】沉舟乐队【野风入夜】2024巡演 太原站,2024.05.24 20:30,太原,1401,ONSALE,98.0,https://cdn.ticketmars.com/prod/external/img/20240315/65f423d5ba3a760001077c82.jpg,5f4f78c3d3521e1e921ac125,The Boo（太原）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716553800000,1716559800000,"{'yuanNum': '98', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1716553800000,['20240524'],False,1,3
SHOW,661f42e28b461400012169d3,661f42e25e52ce00012c26b0,【银川】重温·旧日的足迹,2024.06.30 20:30,银川,6401,ONSALE,100.0,https://cdn.ticketmars.com/prod/external/img/20240417/661f42e20be8c00001c6a9ac.jpg,5d5b881ac756b11e75793a9c,铜管Live House,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1719750600000,1719756000000,"{'yuanNum': '100', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1719750600000,['20240630'],False,1,3
SHOW,661cfb4c5dd5c500013d2cce,661cfb4a7952a3000123d5eb,【太原】浅水ShallowEnd巡演2024CHINA TOUR「来世」太原站,2024.07.12 20:00,太原,1401,ONSALE,19.0,https://cdn.ticketmars.com/prod/external/img/20240415/661cfb4b51c7f600010473ba.jpg,5f4f78c3d3521e1e921ac125,The Boo（太原）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1720785600000,1720794600000,"{'yuanNum': '19', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1720785600000,['20240712'],False,1,4
SHOW,662dd1718b46140001d379ba,662dd1702857df0001e4ed7e,【呼和浩特】浅水ShallowEnd巡演2024CHINA TOUR「来世」呼和浩特站,2024.07.14 20:00,呼和浩特,1501,ONSALE,79.0,https://cdn.ticketmars.com/prod/external/img/20240331/66092dca13dbca00010ce1ed.jpg,5cbd90b1908c3872f82066f1,WHOHOT LIVEHOUSE（呼和浩特）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1720958400000,1720967400000,"{'yuanNum': '79', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1720958400000,['20240714'],False,1,3
SHOW,6630e4dc5b85580001fe2ea5,6630e4dcd621370001eb99a9,【大连】【2024PACT派克特Section90巡演】大连站,2024.05.26 20:00,大连,2102,ONSALE,158.0,https://cdn.ticketmars.com/prod/external/img/20240430/6630e4dc5371fd000131f842.jpg,616662b3908c383ac9d17416,赫兹空间（佳兆业店）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716724800000,1716732000000,"{'yuanNum': '158', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1716724800000,['20240526'],False,1,3
SHOW,6639bcedaf294e0001d98b24,6639bcecf0712300016500b5,【北京】浪漫先行,2024.06.08 19:30,北京,1101,ONSALE,138.0,https://cdn.ticketmars.com/prod/external/img/20240507/6639bcec0e636000016507a4.jpg,60d9a6bdc756b12d0539f037,北京 想象空间,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1717846200000,1717858800000,"{'yuanNum': '138', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1717846200000,['20240608'],False,1,3
SHOW,661e2293e1b6eb00016872a3,661e2292bad0e70001ea1921,【郑州】【秀动呈献】普通人生  海洋Bo 2024专辑巡演 郑州站,2024.06.08 20:00,郑州,4101,ONSALE,120.0,https://cdn.ticketmars.com/prod/external/img/20240416/661e2293c05e2e0001cd8b72.jpg,60e81d0d83a7d7073ee0986a,7LIVEHOUSE+,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1717848000000,1717855259000,"{'yuanNum': '120', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1717848000000,['20240608'],False,1,4
SHOW,662b2e714d74d300018ca23b,662b2e700ec58a00015ae475,【大连】昨日的聚会——惘闻25周年 巡演 大连站,2024.07.14 20:00,大连,2102,ONSALE,160.0,https://cdn.ticketmars.com/prod/external/img/20240426/662b2e719eb2a4000175ee5c.jpg,616662b3908c383ac9d17416,赫兹空间（佳兆业店）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1720958400000,1720965600000,"{'yuanNum': '160', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1720958400000,['20240714'],False,1,3
SHOW,6638a3a45b85580001b8936b,6638a3a4d0c38e00011b87a1,【北京】HAZE夏日演出季 - The Royal Concept北京专场,2024.05.26 20:00,北京,1101,ONSALE,180.0,https://cdn.ticketmars.com/prod/external/img/20240506/6638a397b20eb90001f9aaae.jpg,640819d33d195a00013bab46,福浪Live House-福,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716724800000,1716730200000,"{'yuanNum': '180', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1716724800000,['20240526'],False,1,4
